R&D Spend,Administration,Marketing Spend,State,Profit
165349,136897,471784,Bangalore,192261
162597,151377,443898,Mysuru,191792
153441,101145,407934,Bagalkote,191050
144372,118671,383199,Bangalore,182901
142107,91391,366168,Bagalkote,166187
131876,99814,362861,Bangalore,156991
134615,147198,127716,Mysuru,156122
130298,145530,323876,Bagalkote,155752
120542,148718,311613,Bangalore,152211
123334,108679,304981,Mysuru,149759
101913,110594,229160,Bagalkote,146121
100671,91790,249744,Bangalore,144259
93863,127320,249839,Bagalkote,141585
91992,135495,252664,Mysuru,134307
119943,156547,256512,Bagalkote,132602
114523,122616,261776,Bangalore,129917
78013,121597,264346,Mysuru,126992
94657,145077,282574,Bangalore,125370
91749,114175,294919,Bagalkote,124266
86419,153514,0,Bangalore,122776
76253,113867,298664,Mysuru,118474
78389,153773,299737,Bangalore,111313
73994,122782,303319,Bagalkote,110352
67532,105751,304768,Bagalkote,108733
77044,99281,140574,Bangalore,108552
64664,139553,137962,Mysuru,107404
75328,144135,134050,Bagalkote,105733
72107,127864,353183,Bangalore,105008
66051,182645,118148,Bagalkote,103282
65605,153032,107138,Bangalore,101004
61994,115641,91131,Bagalkote,99937
61136,152701,88218,Bangalore,97483
63408,129219,46085,Mysuru,97427
55493,103057,214634,Bangalore,96778
46426,157693,210797,Mysuru,96712
46014,85047,205517,Bangalore,96479
28663,127056,201126,Mysuru,90708
44069,51283,197029,Mysuru,89949
20229,65947,185265,Bangalore,81229
38558,82982,174999,Mysuru,81005
28754,118546,172795,Mysuru,78239
27892,84710,164470,Bangalore,77798
23640,96189,148001,Mysuru,71498
15505,127382,35534,Bangalore,69758
22177,154806,28334,Mysuru,65200
1000,124153,1903,Bangalore,64926
1315,115816,297114,Mysuru,49490
0,135426,0,Bangalore,42559
542,51743,0,Bangalore,35673
0,116983,45173,Mysuru,14681
